Year,SQC,Definition ,Source,Project Domain,Reference,Technical,Environmental,Economic,Social
,Environmental Risk Mitigation ,Measures to reduce potential environmental risks associated with platform operations.  ,Group 20249330,Digital Local Communities,SAF Toolkit,,X,,
,Recoverability,"The degree to which, in case of an interruption or a failure, a system can recover the data affected and re-establish the desired state of the system",Group 20249400,Urban Agriculture,[ISO/IEC 25010:2011],X,,,
,Well-being,"the way customers generally feel , their general health and happiness",Group20249500,Public Transport,Oxford Dictionary 2024,,,,X
,Customer satisfaction,the degree to which customers are satisfied (Happy / not happy) with the process,Group20249500,Public Transport,,,,,X
,Time management ,the degree to which customers can effectively and productively manage their time,Group20249500,Public Transport,,,,,X
,Traffic jams ,the degree of which traffic jams occur due to public transport vehicle,Group20249500,Public Transport,,,X,,
,Fuel consumption,the amount of fuel that is being used by the public transport vehicle  ,Group20249500,Public Transport,,,X,,
,Air quality,the degree to which the air is clean and free from pollution,Group20249500,Public Transport,Oxford Dictionary 2024,,X,,
,Inclusivly ,"the degree to which people with all kinds of backgrounds, ethnicities, education, age, etc. can use the system",Group20249500,Public Transport,,,,,X
,Edge computing ,"It is a type of network communication technique to distributes the load on the system by placing a huge number of servers near users and devices. In simple words ""putting servers at edge network closer to the device"" ",Group20249500,Public Transport,ICIEM,X,,,
,Public transport rides,amount of rides within the public transport,Group20249500,Public Transport,,,X,,
,Public transport usage,amount of people using the public transport,Group20249500,Public Transport,,,X,,
,Fog computing ,Is a layer of computing between the device and the cloud,Group20249500,Public Transport,https://www.techtarget.com/iotagenda/definition/fog-computing-fogging,X,,,
,Cost of retrofitting,The cost of Retrofitting is the addition of new technology or features to older systems.,Group20249500,Public Transport,https://en.wikipedia.org/wiki/retrofitting,,,X,
,Retrofitting,Retrofitting is the addition of new technology or features to older systems.,Group20249500,Public Transport,https://en.wikipedia.org/wiki/retrofitting,X,,,
,Maintenance cost,Any cost incurred by an individual or business to keep their assets in good working order.,Group20249500,Public Transport,,,,X,
,Trustability,How much consumers can trust the system to deliver expected results consistently and without manipulation,Group20249700,Urban Agriculture,,,,,X
,Social equity,The system ensures equal access and fair treatment for farmers and consumers,Group20249700,Urban Agriculture,,,,,X
,Consumer Experience & Accessibility ,"ease with which consumers can interact with the system, find information, and make purchases",Group20249700,Urban Agriculture,,X,,,
,Data security and privacy,protection of personal data and secure transaction processes,Group20249700,Urban Agriculture,,X,,,
,Wastage,reduction the food and product wastage through better demand forecasting and recycling,Group20249700,Urban Agriculture,,,X,,
,Health benefits,"the availability of health-related information and guidance for consumers, such as nutritional benefits and recipe suggestions, through the digital platform ",Group20249700,Urban Agriculture,,,X,,
,Inclusivity,"inclusion is seen as a process of addressing and responding to the diversity of needs of all learners through increasing participation in learning, cultures and communities, and reducing exclusion within and from education.",Group20249800,Art & Museum ,Unesco. (2005). Guidelines for inclusion: Ensuring access to education for all. Unesco.,,,,X
,Effectivness ,Accuracy and completeness with which users achieve specified goals. ,Group20249800,Art & Museum ,ISO 9241-11:2018,,,,X
,Accessibility,Accessibility is seen as being concerned with the opportunity available to an individual or type of person at a given location to take part in a particular activity or set of activities.   ,Group20249800,Art & Museum ,"Jones, S.R. (1981). Accessibility measures: a literature review. publication of: Transport and road research laboratory. (TRRL LR 967 Monograph)",X,,,
,Career prospect,"The potential opportunities for advancement and growth in a chosen profession, including possibilities for promotion, professional development, and long-term success.  ",Group20249800,Art & Museum ,"Antara, N., & Sen, S. (2020). The Impact of COVID-19 on Musem and The Way Forwarded to be Resilience. Journal of International Meuseum Education, 2 (1), 54-61",,,,X
,Profitability,A flow of services from wealth and human beings.,Group20249800,Art & Museum ,"Hewett, W.W. (1925). The definition of income. The American Economic Review, 15(2) , 239-246",,,X,
,User engagment ,degree to which a user interface presents functions and information in an inviting and motivating manner encouraging continued interaction.,Group20249800,Art & Museum ,ISO 9241-11:2018,,,,X
,Satisfaction,"Extended to which the user's physical, cognitive and emotional responses that result from the use of a system, product, or service meet the user's needs and expectations.  ",Group20249800,Art & Museum ,ISO 9241-11:2018,X,,,
,Operability,System has attributes that make it easy to operate and control.,Group20249800,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Energy and water efficiency,resources expended in relation to the accuracy and completeness with which users achieve goals,Group20249800,Art & Museum ,[ISO/IEC 25010:2011],,X,,
,Digital Inclusion ,"degree to which equitable, meaningful, and safe access to use, lead, and design of digital technologies, services, and associated opportunities exist for everyone, everywhere.",Group20249900,Waste Mnagement,"United Nations. ""Digital Inclusion"". Roundtable on Digital Inclusion. Accessed: 20204-10-03. URL: https://www.un.orgltechenvoy/sites/www.un.org.techenvoy/files/general/definition_digital-inclusion.pdf",,,,X
,Data Privecy,"degree to which individuals, groups, or institutions determine for themselves when, how, and to what extent information about them is communicated to others ",Group20249900,Waste Mnagement,"A F Westin. ""Privacy and freedom"". New York: Atheneum Press (1967)",,,,X
,Trust,degrre to which a user or other stackholder has confidence that a product or system will be behave as intended,Group20249900,Waste Mnagement,[ISO/IEC 25010:2011],,,,X
,Environmental engagement,"involves the transformation of perceptions and attitudes into concrete, pro-environmental actions.",Group20249900,Waste Mnagement,"United Nations. ""Framework for the Development of Environment Statistics (FDES 2013). Accessed: 2024-10-05. URL: https://unstats.un.org/unsd/environment/fdes/fdes-2015-supporting-tools/fdes.pdf",,X,,
,Resource utilization,the type and amounts of resources required to establish and operate the system as well as perform its function,Group20249900,Waste Mnagement,Extended from [ISO/IEC 25010:2011],,X,,
,Efficiency,resource used in relation to the accuracy and completeness with which a system achieves its goals,Group20249900,Waste Mnagement,Simplifide from [ISO/IEC 25010:2011],X,,,
,Flexibility,degree to which a system can be used in contexts beyond those initially specified in the requirements ,Group20249900,Waste Mnagement,Simplifide from [ISO/IEC 25010:2011],X,,,
,Urban Hygine,environmental health factors in densely populated areas to ensure sanitation and cleanliness ,Group20249900,Waste Mnagement,"Seta, F. Islam, N., Nabi, A. & lihima, A. (2019) Urban hygiene and infrastructure:  A Case study of Dhaka Bangladesh. Journal of Urban Management. 8(1) , 45-60.",,X,,
,Carbon Footprint,the total amount of greenhouse gases that are emitted in to the atmosphere,Group20249900,Waste Mnagement,"United States Environmental Protection Agency. ""Cimet Change Terms: Carbon Footprint. Accessed: 2024-10-10.",,X,,
,Scalability,capability of a product to handle growing or shrnking workloads or to adapt its capability to handle variability,Group20249900,Waste Mnagement,[ISO/IEC 25010:2011],X,,,
,Community Awareness,degree to which citizens are aware of their obligations and responsibilities relating to waste management,Group20249900,Waste Mnagement,"translated to the waste management context from: European Environment Agency. "" Term: citizen awareness"". Accessed: 2024-10-16.",,,,X
,Waste Volume ,total amount of waste generated by householders; retailers and other small business; public service providers and other similar sources,Group20249900,Waste Mnagement,"United Nations ""Global Waste Management Outlook 2024"".",,X,,
,Accessibility,degree to which a system can be used by the people with the widest range of characteristics and capabilities  ,Group20249900,Waste Mnagement,[ISO/IEC 25010:2011],X,,,
,Operability,degree to which a system has attributes that make it easy to operate and control,Group20249900,Waste Mnagement,[ISO/IEC 25010:2011],X,,,
,Effectivness ,Accuracy and completeness with which users achieve specified goals. ,Group20249900,Waste Mnagement,[ISO/IEC 25010:2011],X,,,
,Recycling Rate,"defined as the percentage of total waste generated that is recycled. It measures the proportion of waste materials that are diverted from disposal methods such as landfills or incineration and processed for reuse, either through material recovery or composting",Group20249900,Waste Mnagement,"European Environmental Agency. ""Waste recycling in Europe"". 2023. Accessed: 2024-10-10",,X,,
,Circular Economy,"the extet to which the system promotes resource efficiency, waste minimization, and the reuse or recycling of materials",Group20249900,Waste Mnagement,"Organization of Economic Co-operation and Development. ""Circular economy in cities and regions"". accessed: 2024-10-16",,X,,
,Landfill Use,landfill use refers to the disposal of waste in designated sites. where it is buried under controlled conditions.,Group20249900,Waste Mnagement,"European Commision. ""Landfill waste"". Accessed: 2024-10-16.",,X,,
,Health and Safety,Refer to the machines and procedures implemented to ensure the well-being of workers by minimising risks and reducing exposure to hazardous substances or unsafe working conditions.,Group20249900,Waste Mnagement,extended from cambridge dictionary,,,,X
,System Reliability,"Degree to which a system, product or component fulfilscertain functions under certain condition.",Group20249900,Waste Mnagement,[ISO/IEC 25010:2011],X,,,
,Fraud,"Refer to any international act of cheating, manipulation or falsification for financial or personal ",Group20249900,Waste Mnagement,extended from ISO/DIS 22380,,,X,
,Empowerment,"process of enabling individuals or groups to gain control and confidence to make decisions and take action, and to be provided with the necessary tools, resources and training to improve their own circumstances",Group20249900,Waste Mnagement,Extended from: Meriam-Webster Dictionary,,,,X
,Trust & Accountability,"degree to which users or other stachholders have confidence that the system will operated as intended, and the degree to which every action can be uniquely traced to the responsible entity or step within the ......",Group20249900,Waste Mnagement,Extended from [ISO/IEC 25010:2011],,,,X
,Vulnerability,the weakness of a system to internal or external threats that disrupt the functioning of the system,Group20249900,Waste Mnagement,"extended from: National Institute of Standards and Technology. ""Glossary: vulnerability"". Accessed: 2024-10-16. ",X,,,
,Interoperability,degree to which a system can exchange information with other systems and use the information,Group20249900,Waste Mnagement,Simplifide from [ISO/IEC 25010:2011],X,,,
,Functional correctness,degree to which a system provides the correct results with the needed degree of precision,Group20249900,Waste Mnagement,Simplifide from [ISO/IEC 25010:2011],X,,,
,Interoperability,"the ability of the museum's system to exchange informattion and use exchanged information with other digital ecosystems (e.g., sharing artefacts digitally)",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Context completeness,"the system can be used in all the specified contexts of use, ensuring global accessibility for diverse audiences",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Flexibility,"the museum system can be used in evolving contexts, adapting to new technologies or change in use requirments.",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Efficiency,resources used in relation to the effectivness of delivering accurate and complete museum experiences,Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],,,,X
,Economic risk mitigation ,"the system mitigates potential risks to financial status, ensuring sustainable revenue generation through digital offerings.",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],,,X,
,Environmental Risk Mitigation ,the system reduces the risk of environmental harm by digitizing collections and minimizing physical artefact handling,Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],,X,,
,Health and Safety risk mitigation,"the digital museum mitigates potential risks to artefact preservation, safeguarding fragile items from physical damage.",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],,X,,
,Functional completeness,"the degree to which the digital museum's functions (e.g., displaying artefacts, virtual tours) cover all intended tasks and objectives",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Modifiability,"the digital system can be effectively and efficiently modified, for example, to include new collections or adapt newer technologies",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Resource utilization,"the system minimizes the use of resources (e.g., energy, computational power) while providing virtual exhibits and running interactive displays",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],,X,,
,Confidentiality ,"the system protects visitor and institutional data, ensuring only authorized access to sensitive information",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,
,Integrity,"ensures that the museum's digital contet (artefacts, visitor data) is protected from unauthorized modification or damage",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],X,,,X
,Accessibility,"the system is designed to be used by people with divers characteristics, including thoes with physical or congnitive impairments",Group 2024 - 6,Art & Museum ,Simplifide from [ISO/IEC 25010:2011],,,,X
,Data Privecy,"protects visitor and institutional data, ensuring only authorized access to sensitive information collected during virtual tours or interactions",Group 2024 - 6,Art & Museum ,adapted from [Condori-Fernandez et al. (2020)],X,,,
,Timeliness,"ensures that digital exhibits and services (e.g., virtual guids, AR tours) are delivered at appropriate and useful times for visitor engagement",Group 2024 - 6,Art & Museum ,adapted from [ISO/IEC 25010:2011],X,,,
,,,,,,,,,
2022,Accessibility,Giving all students the possibility to have the same educational experiences and information.,Group 2022 - 1,Education,,,,,X
,,Degree to which all people in society can use the service + Degree to which different research groups in society are included due to providing the service.,Group 2022 - 2,Art & Museum ,,,,,
,,Public transport can be used by people with the widest range of characteristics and capabilities.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,,
,,System is easy to use by people with less technical skills.,Group 2022 - 8,Art & Museum ,[Condori-Fernandez et al. (2020)],,,,
,,Degree to which a system can be used by people with the widest range of characteristicts and capabilities.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],,,,
,,"Degree to which a software system is designed to be accessible for people with the widest range of physical, sensory and cognitive abilities, including those who are temporarily disabled, and the elderly.",Group 2022 - 9,Healthcare,[ISO 9241-171:2008],X,,,
,,Degree to which a system can be used by people with the widest characteristics and capabilities.,Group 2022 - 22,Music festival and Events,simplified from [ISO/IEC 25010:2011],,,,
,,The degree to which a product is accessible by each customer.,Group 2022 - 23,Music festival and Events,,,,,
,,Degree to which an XR conference can be used by widely dispersed people with various ranges of characteristics and capabilities.,Group 2022 - 21,Conference and Events,simplified from [ISO/IEC 25010:2011] with making own adjusments to fit the domain,,,,X
,,Degree to which a system can be used by people with the widest range of characteristics and capabilities.,Group 2022 - 24,Art industry,simplified from [ISO/IEC 25010:2011],,,,
,Transportation,Students/employees using (public) transport to travel to their educational institutions.,Group 2022 - 1,Education,Own definition,,X,,
,Costs,Payment required to buy or obtain something/ Payment required to buy or obtain something software/devices,Group 2022 - 1,Education,Own definition,,,X,
,Paper Waste,Amount of paper that has been thrown away or discarded before/after being used by the consumer. ,Group 2022 - 1,Education,Own definition,,X,,
,Interactivity,The process of two people or things working together and influencing each other.,Group 2022 - 1,Education,Own definition,,,,X
,Social Contact,Intraction/communication between two or more persons.,Group 2022 - 1,Education,Own definition,,,,X
,Privacy,"The degree to which the collection, storage or use of personally identifiable informatoin is protected.",Group 2022 - 1,Education,adapted from [Condori-Fernandez et al. (2020)],,,,X
,,"Degree to which the collection, storage or use of personally identifiable information is protected.",Group 2022 - 2,Art & Museum ,,,,,
,,"The degree to which the collection, storage or use of personally identifiable informatoin is protected.",Group 2022 - 3,Urban mobility,,,,,
,,"Protection of collection, storage, or use of personal information.",Group 2022 - 8,Art & Museum ,[Condori-Fernandez et al. (2020)],,,,
,,"Degree to which the collection, storage, or use of personally identifiable information is protected.",Group 2022 - 21,Conference and Events,adapted from [Condori-Fernandez et al. (2020)],,,,
,,"Degree to which the collection, storage, or use of personally identifiable information is protected.",Group 2022 - 9,Healthcare,,X,,,
,Technical Issues,Unforeseen equipment problems such as hardware failures or software bugs.,Group 2022 - 1,Education,Wikipedia,X,,,
,Accuracy,How precise the student results represent their level of education,Group 2022 - 1,Education,Own definition,,,,X
,Work Efficiency,Carrying out tasks in the right way with the least waste of time and effort.,Group 2022 - 1,Education,Own definition,,,,X
,Time Saving,Reducing the amount of time needed to do something.,Group 2022 - 1,Education,Oxford Languages,,,,X
,Student Success,The level of education that students perform at.,Group 2022 - 1,Education,Own definition,,,,X
,Modifiability,The degree of ease at which changes can be made and the flexibility with which the system adapts to such changes.,Group 2022 - 1,Education,Own definition,,X,,
,Functional Appropriateness,Degree to which digital tours are used as intended.,Group 2022 - 2,Art & Museum ,,X,,,
,Coexistence,Degree to which digital tours can coexist which pshysical tours whithout significant negative impact on either.,Group 2022 - 2,Art & Museum ,,,,X,
,Tailorability,Degree to which repackaging allows museums to develop their connections.,Group 2022 - 2,Art & Museum ,,X,,,
,Authenticity,Degree to which the identity of a subject or resource can be proved to be the one claimed.,Group 2022 - 2,Art & Museum ,[ISO/IEC 25010:2011],,,,X
,Resource Utilization,Degree to which commodities are fabricated from collections.,Group 2022 - 2,Art & Museum ,,X,,,
,Environmental Risk Mitigation,Degree to which commodities mitigate potential risk to propertyor the environment in the intended contexts of use.,Group 2022 - 2,Art & Museum ,Simplified form [ISO/IEC 25010:2011],,X,,
,Learnability,Degree to which art preservation contributes to education.,Group 2022 - 2,Art & Museum ,,,,,X
,Functional Correctness,Degree to which art preservation contributes to providing an actual representation of the historical truth. ,Group 2022 - 2,Art & Museum ,,X,,,
,Functional Completeness,Degree to which art preservation contributes to providing a complete representation of historical events.,Group 2022 - 2,Art & Museum ,,X,,,
,Capacity,Degree to which museum capacity (visitors/collections) can be monitored to measure performance.,Group 2022 - 2,Art & Museum ,,,,X,
,Learnability,Degree to which art research contributes to education.,Group 2022 - 2,Art & Museum ,,,,,X
,Interoperability,Degree to which art research can be shared across institutions.,Group 2022 - 2,Art & Museum ,,X,,,
,Resource Utilization,Degree to which museum research resources are used as intended to minimise resource utilisation.,Group 2022 - 2,Art & Museum ,,,X,,
,,Amounts and types of resources used by the public transport system in operation meet requirements.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,X,,
,Traffic Congestion,"Condition on road networks that occurs as use increases, and is characterised by slower speeds, longer trip times, and increased vehicular queuing.",Group 2022 - 3,Urban mobility,[29],,,,X
,Availability,"Degree to which a system, product or component is operational and accessible when required for use.",Group 2022 - 3,Urban mobility,[28],,,,X
,,Public transport is operational and accesible when required for use.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,,X
,Fuel Consumption,Amount of fuel a vehicle consumes to go a specific distance.,Group 2022 - 3,Urban mobility,[30],,X,,
,Emissions,Amount of substance that is produced and set out in to the air that is harmful to the environment.,Group 2022 - 3,Urban mobility,[31],,X,,
,Climate Change,Long-term shifts in temperatures and weather patterns.,Group 2022 - 3,Urban mobility,[32],,X,,
,Motivation,The willingness to make more environmentally sustainable choices.,Group 2022 - 3,Urban mobility,-,,,,X
,Insurance,Protection againts claims resulting from injuries and damage to other people or property.,Group 2022 - 3,Urban mobility,[33],,,X,
,Car Taxes,Money that you pay to the government so that you can drive your car on the roads.,Group 2022 - 3,Urban mobility,[34],,,X,
,Environmental Awareness,"Having an undrestanding of the environment, the impacts of human behaviors on it, and the importance of its protection.",Group 2022 - 3,Urban mobility,[36],,X,,
,Efficiency,Resources expended in relation to the accuracy and completeness with which users achieve goals.,Group 2022 - 3,Urban mobility,[28],X,,,
,,Technical resources expended per passenger kilometer.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,X,,,
,,Finanical resources expended per passenger kilometer.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,X,
,,Resources expended in relation to the accuracy and completeness with which users achieve goals.,Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],,,,X
,,The balance between used resources and achieved goals.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],,X,,
,,The degree in which data collection helps companies be efficient with marketing.,Group 2022 - 23,Music festival and Events,,,,X,
,Scalability,A system's ability to increase or decrease in performance and cost in responce to changes in application and system processing demands.,Group 2022 - 3,Urban mobility,[37],X,,,
,Customer Satisfaction,Degree to which passengers are satisfied with their use of public transport.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,,X
,Trust,Passengers have confidence that public transport will behave as intended.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,,X
,Effectiveness,Degree to which repackaging contributes to value creation for museums.,Group 2022 - 2,Art & Museum ,,X,,,
,,Completeness with which passengers can use public transport to meettheir journey requirements.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,,
,,The ability to be successful and produce the intended results.,Group 2022 - 23,Music festival and Events,Cambridge Dictionary,,,,
,,"Accuracy and completeness with which users achieve specified goals, for example attending an XR conference that provides accurate human interaction and communication.",Group 2022 - 21,Conference and Events,[ISO/IEC 25010:2011] with making own adjusments to fit the domain,,,,
,,Accuracy and completeness with which users achieve specified goals.,Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],,,X,
,,Application achieves predetermined goals with good accuracy.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Fault Tolerance,The system operates as intended despite the presence of hardware of software faults.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,X,,,
,Adaptability,"Public transport system can effectively and efficiently be adapted for different or evolving hardware, software, or usage environments. ",Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,X,,,
,Digital Inclusion,Ability of users to make effective use of the system with minimal digital skills.,Group 2022 - 4,Urban mobility,(own definition),,,,X
,Flexibility,Public transport can be used in contexes beyond those inititially specified in the requirements.,Group 2022 - 4,Urban mobility,adapted from ISO/IEC 25010:2011 quality model,,,X,
,Compatibility,Degree to which a system can exchange information with other systems and use the information.,Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],X,,,
,Usability,Degree to which a system can be used to achieve specified goals of learning to use the system.,Group 2022 - 7,Agricultural,Simplified From [ISO/IEC 25010:2011],,,,X
,Health And Safety Risk Mitigation,Degree to which a product or system mitigates the potential risk to people in the intended context of use.,Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],,,,X
,Economic Risk Mitigation,"Degree to which a product or system mitigates the potential risk to financial status, efficient operation, commercial property, reputation or other resources in the intended contexts of use.",Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],,,X,
,Environmental Risk Mitigation,Degree to which a product or system mitigates the potential risk to property or the environment in the intended contexts of use.,Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],,X,,
,Context Coverage,Degree to which a system can be used in all the specified contexts of use.,Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],X,,,
,Satisfaction,"Degree to which a user is satisfied with of use and the consequences of use their perceived achievement of pragmatic goals, including the results.",Group 2022 - 7,Agricultural,[ISO/IEC 25010:2011],,,,X
,Digital Inclusion,Degree to which users are able to participare in the community while using digital tools.,Group 2022 - 7,Agricultural,Wilson et al. 2019,,,,X
,Disicion Making,Process and logic through which individuals arrive at a decision.,Group 2022 - 7,Agricultural,Nitta. 2014,,,,X
,Connectivity,Property of a computer network in which it is always possible to connect any two devices.,Group 2022 - 7,Agricultural,[ISO/IEC 2382:2015],X,,,
,Employment,Occupation for which people are paid either in cash or in kind.,Group 2022 - 7,Agricultural,[ISO/IEC 21276:2018],,,,X
,Regulation Compliance,The Degree to which a system allows to draw conclusions about how wellthe software adheres to application related regulations in laws.,Group 2022 - 7,Agricultural,adapted from [Condori-Fernandez et al. (2020)],,,,X
,Freedom From Risk,system aims to mitigate the risk to financial stability in the intended contexts.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],,,X,
,Functional Completeness,The system meet the expected functions and outcomes.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Modifiability,System can be easily modified  without reducing quality.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Reusability,Systems can be modified into other system to use it for different purposes.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Testability,System can be tested with specific critetia.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Adaptibility,"System is modified for different hardware, software or user environments.",Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Availability,System is operational and accessible for users.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],,,,X
,Maturity,System is reliable under normal use.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Trust,Stakeholder has confidence that a system will function as intended.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],X,,,
,Usefulness,Users is satisfied with their perceived achievement of practical aims.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],,,,X
,Scalability,Computing processes can be used or produced in a range of capabilities.,Group 2022 - 8,Art & Museum ,[Condori-Fernandez et al. (2020)],,,X,
,Authenticity,Identities of subjects or resources can be proved to be the one claimed.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],,,,X
,Learnability,The users can learn to use the system with a resonable amount of effort.,Group 2022 - 8,Art & Museum ,[ISO/IEC 25010:2011],,,,X
,Usefulness,"Degree to which a user is satisfied with their perceived achievement of pragmatic goals, including the results.",Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],X,,,
,Trust,Degree to which a user or other stakeholder has confidence that a product or system will behave as intended.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],,,,X
,Interoperability,Degree to which a system can exchange information with other systems and use the information.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],X,,,
,Coexistence,"Degree to which a product can perform its required functions efficiently while sharing a common environment and resources with other products, without detrimental impact on any other product.",Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],X,,,
,Confidentiality,Degree to which a system ensures that data are accessible only to those authorized to have access.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],X,,,
,Learnability,Degree to which a system can be used to achieve specified goals of learning to use the system.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],,,,X
, Regulation Compliance,Degree to which a system allows to draw conclusions about how well the software adheres to application related regulations in laws.,Group 2022 - 9,Healthcare,[16],,,,X
,Efficiency,Resources expended in relation to the accuracy and completeness with which users achieve goals.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],,,X,
,Well-being,"A scale that measures the hedonic and eudaimonic aspects, positive affect, satisfying interpersonal relationships and positive functioning in mental health.",Group 2022 - 9,Healthcare,[17],,,,X
,Resource Utilization,"Degree to which the amounts and types of resources used by a system, when performing its functions, meet requirements.",Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],,X,,
,,"Resource utilization is the amount of a good or service consumed or the pattern of use of a good or service within a specified time. The basic resources needed to provide a good or service are financial, human, technological, and physical.",Group 2022 - 9,Healthcare,[18],,,X,
,CO2 Emissions,"Emissions analysis organized by the categories of Scope 1 (direct emissions from health care facilities), Scope 2 (indirect emissions from purchased energy), and Scope 3 (all indirect emissions, not included in scope 2, that occur in the value chain, including bot upstream and downstream emissions).",Group 2022 - 9,Healthcare,[19],,X,,
,Economic Risk Mitigation,Degree to which a system mitigates the potential risk to financial status in the intended contexts of use.,Group 2022 - 9,Healthcare,[ISO/IEC 25010:2011],,,X,
,Reduction Of Carbon Emissions,Reducing the amount of carbon emissions that are produced for x amount of livestock products.,Group 2022 - 10,Agricultural,,,X,,
,Energy Usage,Energy needed to power the systems present in the farm.,Group 2022 - 10,Agricultural,,,X,,
,Energy Efficiency,Extent to which system uses energy resources in the most optimal way.,Group 2022 - 10,Agricultural,,,X,,
,Usefulness,The availability of the system to the stakeholders,Group 2022 - 10,Agricultural,,,,,X
,Resource Utilization,The amount of available resources that you are now consuming is referred to as resource utilization. It aids in the planning of more effective resource utilization to guarantee that the farm is as productive as possible.,Group 2022 - 10,Agricultural,,,,X,
,Inability To Trace And Check Bad Products,Lack of availability of the system to provide accurate parameters to locate defective products.,Group 2022 - 10,Agricultural,,X,,,
,Livestock Welfare,Providing a mechanism for monitoring livestock health and wellness.,Group 2022 - 10,Agricultural,,X,,,
,Profit Margins,"Profit margin, which is simply calculated by dividing income by revenues, measures how profitable the farm operations are.",Group 2022 - 10,Agricultural,,,,X,
,Epidemic Spread,This is the rate at which dieases spreads between livestock due to poor housing or improper monitoring.,Group 2022 - 10,Agricultural,,,X,,
,Disorgainzed Data And Slow Communication,The impact of analog technologies that aren't digitalized on farm communication.,Group 2022 - 10,Agricultural,,X,,,
,Technological Improvement,The cost of digilization of farm operations and training of staffs will create a big shift from normal operations.,Group 2022 - 10,Agricultural,,,,X,
,Trust,Employee trust that the proposed system performs well and is an imporvement to their workplace.,Group 2022 - 10,Agricultural,,,,,X
,Better Time Management,Eliminating the need for many manual labor tasks and freeing up employee time.,Group 2022 - 10,Agricultural,,,,,
,Usefulness,The benefits of the proposed changes.,Group 2022 - 10,Agricultural,,,,,
